title,category,lyrics,Mood
দুটি পাখী দুটি তীরে,আধুনিক,"দুটি পাখি দুটি তীরে
মাঝে নদী বহে ধীরে। 
একই তরু শাখা পরে-
ছিল বাসা লীলা ছলে,
অজানা সে কোন ঝড়ে-
ভেঙে নিল বাসাটিরে।
বিধাতার আভিশাপ
নিয়তির হল জয়,
ছিঁড়িল বীণার তার
মুছে গেল পরিচয়।
ছিল যেথা আলো হাসি
ফুলফল মধু বাঁশি,
আজি সেথা কিছু নাহি
বায়ু কেঁদে যায় নীড়ে।",বেদনা
পরাণ প্রিয় কেন এলে অবেলায়,নজরুল গীতি,"রান-প্রিয়! কেন এলে অবেলায়।
শীতল হিমেল বায়ে ফুল ঝরে যায়॥
সেদিনও সকাল বেলা
খেলেছি কুসুম-খেলা,
আজি যে কাঁদি একেলা
এ ভাঙা মেলায়,
কেন এলে অবেলায়॥
ক্লান্ত দিবস দূরে
কাঁদিছে পিলুর সুরে,
কেন শত পথ ঘুরে
আসিলে হেথায়॥",বেদনা
এত জল ও কাজল চোখে,নজরুল গীতি,"এত জল ও – কাজল চোখে
পাষানী আনলে বল কে ?
টলমল জল মোতির মালা
দুলিছে ঝালর –পলকে ।।
দিল কি পুব – হাওয়াতে দোল ,
বুকে কি বিঁধিল কেয়া ?
কাঁদিয়া কুটিরে গগন
এলায়ে ঝামর অলকে।।
চলিতে পৈচি কি হাতের
বাধিল বৈচি কাটাতে ?
ছাড়াতে কাচুলির কাঁটা
বিধিল হিয়ার ফলকে ।।
যে দিনে মোর দেওয়া – মালা
ছিঁড়িলে আনমনে সখি ,
জড়াল যুঁই – কিসুমী – হাড়
বেণীতে সেদিন গুলো কে ।।
যে পথে নীর ভরণে যাও
বসে রই সে পথ – পাশে
দেখি নিত কার পানে চাহি
কলসীর সলিল ছলকে ।।
মুকুলী মন সেধে সেধে
কেবলি ফিরিনু কেদে ,
সরসীর ঢেউ পলায় ছুটি
না ছুতেই নলিন – নোলকে ।।
বুকে তোর সাত সাগরের জল
পিপাসা মিটল না কবি ,
ফটিক – জল ! জল খুঁজিস যেথায়
কেবলি তড়িৎ ঝলকে ।।",বেদনা
ফুল-ফাগুনের এলো মরশুম বনে বনে লাগলো দোল,নজরুল গীতি,"ফুল-ফাগুনের এলো মরশুম বনে বনে লাগলো দোল।
কুসুম-সৌখিন দখিন হাওয়ার চিত্ত গীত-উতরোল।।
অতনুর ঐ বিষ-মাখা শর নয় ও দোয়েল শ্যামার শিস,
ফোটা ফুলে উঠল ভ’রে কিশোরী বনের নিচোল।।
গুলবাহারের উত্তরী কার জড়াল তরু-লতায়,
মুহুমুহু ডাকে কুহু তন্দ্রা-অলস, দ্বার খোল।
রাঙা ফুলে ফুল্ল-আনন দোলে কানন-সুন্দরী,
বসন্ত তার এসেছে আজ বরষ পরে পথ-বিভোল।।", আনন্দ
চাঁদের মত নীরবে এসো প্রিয়,নজরুল গীতি,"চাঁদের মত নীরবে এসো প্রিয় নিশীথ রাতে।
ঘুম হয়ে পরশ দিও হে প্রিয়, নয়ন-পাতে।।
তব তরে বাহির-দুয়ার মম
খুলিবে না এ-জনমে প্রিয়তম,
মনের দুয়ার খুলি’ গোপনে এসো বিজরিত রহিও স্মৃতির সাথে।।
কুসুম-সুরভি হ’য়ে এসো নিশি পবনে,
রাতের পাপিয়া হয়ে পিয়া পিয়া ডাকিও বন-ভবনে।
আঁখি জল হয়ে আঁখিতে আসিও
বেণুকার সুর হয়ে শ্রবণে ভাসিও,
বিরহ হ’য়ে এসো হে চির-বিরহী আমার অন্তর-বেদনাতে।।",বেদনা
প্রদীপ নিভায়ে দাও উঠিয়াছে চাঁদ,নজরুল গীতি,"প্রদীপ নিভায়ে দাও, উঠিয়াছে চাঁদ।
বাহুর ডোর আছে, মালায় কী সাধ?
ফুল আনিয়ো না ভবনে
কেশের সুবাস তব ঘনাক মনে,
হৃদয়ের লাগি মোর হৃদয় কাঁদে
চন্দন লাগে বিস্বাদ॥
খোলো গুন্ঠন, ফেলে দাও আভরণ,
হাতে রাখো হাত, তোলো আনত নয়ন।
বাহিরে বহুক বাতাস
বক্ষে লাগুক মোর তব ঘন শ্বাস
চম্পার ডালে বসে মোদেরে দেখে
কুহু আর পাপিয়ায় করুক বিবাদ॥",বেদনা
পলাশ ফুলের গেলাস ভরি,নজরুল গীতি,"পলাশ ফুলের গেলাস ভরি’
পিয়াব অমিয়া তোমারে প্রিয়া
চাঁদিনী রাতের চাঁদোয়া তলে
বুকের আঁচল দিব পাতিয়া।।
নয়ন-মণির মুকুরে তোমার
দুলিবে আমার সজল ছবি
সবুজ ঘাসের শিশির ছানি
মুকুতা মালিকা দিব গাঁথিয়া।।
ফিরোজা আকাশ আবেশে ঝিমায়
দীঘির বুকে কমল ঘুমায়
নীরব যখন পাখির কূজন আমরা দু’জন রব জাগিয়া।।", আনন্দ
জীবনে আমার যত আনন্দ,রবীন্দ্র সংগীত,"জীবনে আমার যত আনন্দ পেয়েছি দিবস-রাত
সবার মাঝারে আজিকে তোমারে স্মরিব জীবননাথ ॥ 
যে দিন তোমার জগত নিরখি   হরষে পরান উঠেছে পুলকি
সে দিন আমার নয়নে হয়েছে তোমার নয়নপাত ॥
বারে বারে তুমি আপনার হাতে স্বাদে সৌরভে গানে
বাহির হইতে পরশ করেছ অন্তরমাঝখানে।
পিতা মাতা ভ্রাতা সব পরিবার,  মিত্র আমার, পুত্র আমার,
সকলের সাথে প্রবেশি হৃদয়ে তুমি আছ মোর সাথ ॥", আনন্দ
মরম কথা গেল সই মরমে মরে,নজরুল গীতি,"মরম-কথা গেল সই মরমে মরে।
শরম বারণ যেন করিল চরণ ধরে॥
ছল করে কত শত সে মম রুধিত পথ,
লাজ ভয়ে পলায়েছি সে ফিরেছে ব্যথাহত,
অনাদরে প্রেম-কুসুম গিয়াছে মরে॥
কত যুগ মোর আশে বসে ছিল পথ পাশে,
কত কথা কত গান জানায়েছে ভালোবাসে,
শেষে অভিমানে নিরাশে গিয়াছে সরে॥",বেদনা
রাখো রাখো রে জীবনে জীবনবল্লভে,রবীন্দ্র সংগীত,"রাখো রাখো রে জীবনে জীবনবল্লভে
প্রাণমনে ধরি রাখো নিবিড় আনন্দ বন্ধনে।।
আলো জ্বালো হৃদয়দীপে অতিনিভৃত অন্তরমাঝে
আকুলিয়া দাও প্রাণ গন্ধচন্দনে।।",আনন্দ
সীতা- কোন সে সুদুর অশোক কাননে,নজরুল গীতি,"কোন সে সুদূর অশোক-কাননে বন্দিনী তুমি সীতা
আর কতকাল জ্বলিবে আমার বুকে বিরহের চিতা
সীতা – সীতা।
বিরহে তোমার অরণ্যচারী
কাঁদে রঘুবীর বল্কলধারী,
ঝরা চামেলির অশ্রু ঝরায়ে
ঝুরিছে বন-দুহিতা।
সীতা – সীতা!
তোমার আমার এই অনন্ত অসীম বিরহ নিয়া
কত আদি কবি কত রামায়ণ রচিবে কে জানে প্রিয়া।
বেদনার সুর-সাগর তীরে
দয়িতা আমার এসো এসো ফিরে
আবার আঁধার হৃদি-অযোধ্যা
হইবে দীপান্বিতা।।
সীতা – সীতা।",বেদনা
ছাড় ছাড় আঁচল বঁধু যেতে দাও,নজরুল গীতি,"ছাড়ো ছাড়ো আঁচল, বঁধু,
যেতে দাও।
বনমালী, এমনি করে মন ভোলাও॥
একা পথে দুপুরবেলা
নিরদয়, এ কী খেলা।
তুমিএমনি করে মায়াজাল বিছাও।
পথে দিয়ে বাধা
এ কী প্রেম সাধা,
আমি নহি তো রাধা, বঁধু, ফিরে যাও॥
নিখিল নর-নারী তোমার প্রেম-ভিখারি
লীলা বুঝিতে নারি তব শ্যামরাও॥",বেদনা
মোরা কুসুম হ​য়ে কাঁদি কুঞ্জবনে,নজরুল গীতি,"মোরা কুসুম হয়ে কাঁদি কুঞ্জবনে
সুন্দর শ্যাম হে
আমি মরিতে চাহি ঝরি’ তব চরণে
সুন্দর শ্যাম হে।
ওগো সুন্দর শ্যাম হে।।
মোর ক্ষণিক এ জীবন নিশি শেষে
প্রিয় ঝ’রে যাব গো স্রোতে ভেসে’
বঁধু কাছে এসে ছুঁয়ো ভালবেসে
জাগায়ো প্রেম-মধু গোপন মনে
সুন্দর শ্যাম হে।।
তব সরস পরশ দিয়ে মনোহর
মোর এ তনু রঙে রসে পূর্ণ করো
আমি তোমার বুকে রবো পরম সুখে
ঝরিব প্রিয়, চাহি’ তব নয়নে
সুন্দর শ্যাম হে।।
মোর বিদায় বেলা ঘনায়ে আসে
মোর প্রাণ কাঁদে মিলন-পিয়াসে
এই বিরহ মম ওগো প্রিয়তম,
মিটিবে সে কোন শুভ লগনে,
সুন্দর শ্যাম হে।।",বেদনা
ন​য়ণ যে মোর বারণ মানে না,নজরুল গীতি,"নয়ন যে মোর বারণ মানে না।
বারণ মানে না মন কাঁদন মানে না।।
নিশিদিন তব আশে
আছি চেয়ে পথ পাশে (আমি),
দু’কূল বেয়ে সলিল আসে কাজল মানে না।।
সবার মাঝে থেকেও একা
আমি তাই তো তোমার চাই গো দেখা,
মরম যে গো তোমায় ছাড়া কারেও জানে না।।",বেদনা
লুকোচুরি খেলতে হরি হার মেনেছ আমার সনে,নজরুল গীতি,"লুকোচুরি খেলতে হরি
হার মেনেছ আমার সনে
লুকাতে চাও বৃথা হে শ্যাম
ধরা প​ড় ক্ষণে ক্ষণে",বেদনা 
Confusion,ব্যান্ড,"এই চেনা শহর চেনা সময়
সময় গরালে অচেনাও হয়
এই তোমায় নিয়ে আমি ভাবি
তোমায় অনেক চিনে ফেলেছি
আসলে কি করেছি?
তোমায় আমি চিনি না, আবার বোধ হয় চিনি
এই ভালবাসা দিলাম তোমায়
কিন্তু একটা কিন্তু থেকেই যায়
যখন দূরে দূরে থাকো তুমি
তখন অনেক ভালবেসে ফেলি হায়
আসলে কি বেসেছি?
তোমায় ভালবাসি না, আবার বোধ হয় বাসি
এই চেনা রাস্তা চেনা বাস ট্রেন চেনা অচেনা হায় দেখি
সবাই ছুটে চলে একলা কিংবা দলে দলে ঠিক কিংবা ভুলে
বইতে বইতে যেমন জল কেমনে কেমনে কেমনে সব এক হয়ে যায়
সুখ দুঃখ কষ্টের পাহারে ঝর্ণার মত বয়ে চলা মানুষদের
আমি ডাকি না, আমি ডাকি না, আমি ডাকি না, আমি ডাকি না, নাকি ডাকি
আমি চিনি না, আমি চিনি না, আমি চিনি না, আমি চিনি না, নাকি চিনি
কাউকে আমি চিনি না, আবার বোধহয় চিনি
কাউকে ভালবাসি না, আবার বোধহয় বাসি
কাউকে আমি ডাকি না, আবার বোধ হয় ডাকি
আমিকে আমি চিনি না, আবার বোধ হয় চিনি",বেদনা 
চোখের আলোয় দেখেছিলাম,রবীন্দ্র সংগীত,"চোখের আলোয় দেখেছিলেম চোখের বাহিরে।
অন্তরে আজ দেখব, যখন আলোক নাহি রে।।
ধরায় যখন দাও না ধরা
হৃদয় তখন তোমায় ভরা।।
এখন তোমার আপন আলোয় তোমায় চাহি রে।।
চোখের আলোয় দেখেছিলেম চোখের বাহিরে।
তোমায় নিয়ে খেলেছিলেম খেলার ঘরেতে
খেলার পুতুল ভেঙে গেছে প্রলয় ঝড়েতে।।
থাক তবে সেই কেবল খেলা,
হোক-না এখন প্রাণের মেলা ।।
তারের বীণা ভাঙল, হৃদয়-বীণায় গাহি রে।
চোখের আলোয় দেখেছিলেম চোখের বাহিরে।
অন্তরে আজ দেখব, যখন আলোক নাহি রে।",বেদনা
"ছোট্ট একটি গ্রাম,",ছায়াছবি,"ছোট্ট একটি গ্রাম মধুমতি তার নাম,
ছোট্ট একটি গ্রাম মধুমতি তার নাম,
সেই গ্রামের একটি মেয়ে হাসতো খেলতো বেড়াতো।
ছোট্ট একটি গ্রাম মধুমতি তার নাম। 
সেই গ্রামের পাশে ছিল একটি নদী,
তার সে তীরে সেই মেয়েটি যেত নিরবধি।
অনেক খুশিতে সে দুলতো,
ঢেউয়ের সাথে কথা বলতো।
ভাবতো কেবল একটি মনের মানুষ যদি সে পেত।
 ছোট্ট একটি গ্রাম মধুমতি তার নাম,
সেই গ্রামের একটি মেয়ে হাসতো খেলতো বেড়াতো।
ছোট্ট একটি গ্রাম মধুমতি তার নাম।
অনেক আপন হয়ে একটি মানুষ কাছে এলো,
মেয়েটি তারে উজাড় করে প্রেম দিলো।
অনেক আপন হয়ে একটি মানুষ কাছে এলো,
মেয়েটি তাকে উজাড় করে প্রেম দিলো।
সোহাগ দিয়ে জ্বালা দিয়ে,
মানুষটি একদিন হারিয়ে গেলো।
সেই নদীর ঢেউ গুলো আজও দোলে,
বেধনাতে বিষের কালো ফণা তোলে।
এখন সে মেয়েটি কাঁদছে,
বালুচরে খেলাঘর বাধছে।
কেউ দেখে না তার সে মনে,
কোথায় গভীর খতো।
ছোট্ট একটি গ্রাম মধুমতি তার নাম,",আনন্দ
"আষাঢ় শ্রাবন মানে না তো মন,",ছায়াছবি,"আষাঢ় শ্রাবন মানে  না তো মন,
ঝর ঝর ঝর ঝর ঝরেছে,
তয়ামকে আমার মনে পড়েছে,
তোমাকে আমার মনে পড়েছে।
আষাঢ় শ্রাবন মানে না তো মন। 
আষাঢ় শ্রাবন মানে  না তো মন,
ঝর ঝর ঝর ঝর ঝরেছে,
তয়ামকে আমার মনে পড়েছে,
তোমাকে আমার মনে পড়েছে।
আষাঢ় শ্রাবন মানে না তো মন। 
আলোর তরীটি বেয়ে দিন চলে যায়,
আধারের মন জ্বলে তারায় তারায়।
আলোর তরীটি বেয়ে দিন চলে যায়,
আধারের মন জ্বলে তারায় তারায়।
আমার এ মন কেন শুধু আকুলায়,
বরষন যেন কোথা হয়েছে।
তোমাকে আমার মনে পড়েছে।
তোমাকে আমার মনে পড়েছে।
আষাঢ় শ্রাবন মানে  না তো মন,
ঝর ঝর ঝর ঝর ঝরেছে,
তয়ামকে আমার মনে পড়েছে,
দিও না কখন ও কিছু দিও না আমায়,
সবকিছু পাওয়া হবে পেলে গো তোমায়।
দিও না কখন ও কিছু দিও না আমায়,
সবকিছু পাওয়া হবে পেলে গো তোমায়। 
চোখের জলেতে বেয়ে সুখ এলো তাই,
আজ মন মোহনাতে মিশেছে,
তোমাকে আমার মনে পড়েছে,
তোমাকে আমার মনে পড়েছে। 
আষাঢ় শ্রাবন মানে  না তো মন,
ঝর ঝর ঝর ঝর ঝরেছে,
তয়ামকে আমার মনে পড়েছে,
তোমাকে আমার মনে পড়েছে।
আষাঢ় শ্রাবন মানে না তো মন।",বেদনা
"তারে ভুলানো গেলো কিছু তে,",ছায়াছবি,"তারে ভুলানো গেলো না কিছু তে,
তারে ভুলানো গেলো না কিছু তে,
ভুল দিয়ে ভালোবাসা দিয়ে,
ভুল দিয়ে ভালোবাসা দিয়ে,
বিষের পরশ দিয়ে ভুলানো গেলো কিছু তে।
তারে ভুলানো গেলো না কিছু তে।
তা রে——- 
ভালোবেসে কোনদিন ও সুখ চেও না,
সবকিছু ভুলে যেতে,ভুলে যেও না।
ভালোবেসে কোনদিন ও সুখ চেও না,
সবকিছু ভুলে যেতে,ভুলে যেও না। 
ফিরবার পথ নেই তবুও কেন,
মোরে যাওয়া গেলো না যে কিছু তে।
তারে ভুলানো গেলো না কিছু তে।
তা রে——- 
যার নাম নিতে চোখে জল এসে যায়,
তার নিয়ে নিয়ে মন ভেঙ্গে যায়।
যার নাম নিতে চোখে জল এসে যায়,
তার নিয়ে নিয়ে মন ভেঙ্গে যায়। 
চোখ মুছে ফেল্লে ও মন থেকে তারে,
মুছে ফেলা গেলো না কিছু তে।
তারে ভুলানো গেলো না কিছু তে,
তারে ভুলানো গেলো না কিছু তে,
ভুল দিয়ে ভালোবাসা দিয়ে,
ভুল দিয়ে ভালোবাসা দিয়ে,
বিষের পরশ দিয়ে ভুলানো গেলো কিছু তে।
তারে ভুলানো গেলো না কিছু তে।
তা রে——-",বেদনা
"আকাশের হাতে আছে একরাশ নীল,",ছায়াছবি,"আকাশের হাতে আছে একরাশ নীল,
বাতাসের আছে কিছু গন্ধ।
রাত্রির গাঁয়ে জ্বলে জোনাকি,
তটিনীর বুকে মৃদু ছন্দ। 
আকাশের হাতে আছে একরাশ নীল,
বাতাসের আছে কিছু গন্ধ।
রাত্রির গাঁয়ে জ্বলে জোনাকি,
তটিনীর বুকে মৃদু ছন্দ। 
আমার এ দুহাত সুধ রিক্ত,
আমার এ দুচোখ জ্বলে শীক্ত।
আমার এ দুহাত সুধ রিক্ত,
আমার এ দুচোখ জ্বলে শীক্ত।
বুক ভরা নীরবতা নিয়ে অকারণ,
বুক ভরা নীরবতা নিয়ে অকারণ,
আমার এ দুয়ার হল বন্দ।
আকাশের হাতে আছে একরাশ নীল,
বাতাসের আছে কিছু গন্ধ।
রাত্রির গাঁয়ে জ্বলে জোনাকি,
তটিনীর বুকে মৃদু ছন্দ। 
ভেবে তো পাইনি আমি কি হোল আমার,
লজ্জায় প্রহরী কেন খোলে নাকো দার।
ভেবে তো পাইনি আমি কি হোল আমার,
লজ্জায় প্রহরী কেন খোলে নাকো দার। 
বুজি না কেমন করে বলবো,
খেয়ালী কতোই ভেসে চলবো।
বুজি না কেমন করে বলবো,
খেয়ালী কতোই ভেসে চলবো। 
বলি বলি করে তবু বলা হল না।
বলি বলি করে তবু বলা হল না।
যানিনা কীসে এতো দন্দ। 
আকাশের হাতে আছে একরাশ নীল,
বাতাসের আছে কিছু গন্ধ।
রাত্রির গাঁয়ে জ্বলে জোনাকি,
তটিনীর বুকে মৃদু ছন্দ।",আনন্দ
"কত ভালো লাগে এই দিন এই পৃথিবী,",ছায়াছবি,"ছেলে=
কত ভালো লাগে এইদিন এই পৃথিবী,
যেন পাখীদের মত ডানা মেলেছি নীলে।
হাঁসি গানে একে যাই প্রানের ও ছবি,
কত ভালো লাগে এইদিন এই পৃথিবী।
মেয়ে=
কত ভালো লাগে এইদিন এই পৃথিবী,
যেন পাখীদের মত ডানা মেলেছি নীলে।
হাঁসি গানে একে যাই প্রানের ও ছবি,
কত ভালো লাগে এইদিন এই পৃথিবী।
হা হা হা আ আ আ হা হা হা—
ছেলে=
চলার বেগে আমরা যেন ঝর্না কলরব,
ঢেউয়ের তালে নেচে চলি ছন্দে জাগে দোল।
মেয়ে=
মনের কোকিল  বাঁশীর মতো বলছে মধু বোন,
ফাগুন হয়ে ফুটায় যতো স্বপ্ন মাধবী-।
ছেলে=
কত ভালো লাগে এইদিন এই পৃথিবী,
যেন পাখীদের মত ডানা মেলেছি নীলে।
হাঁসি গানে একে যাই প্রানের ও ছবি,
কত ভালো লাগে এইদিন এই পৃথিবী।
হা হা হা হা আ আ আ হা হা হা হা,
জলের লিখন মুছে যাবে হয়তো কোনদিন,
প্রানের গোলাপ ঝরে যাবে গন্ধ হবে লীন।
ক্ষণিক সুখের সৃতি তবু রইবে অমলিন,
এমন করে চিরদিনই আনবে সুরভি।
মেয়ে=
কত ভালো লাগে এইদিন এই পৃথিবী,
যেন পাখীদের মত ডানা মেলেছি নীলে।
হাঁসি গানে একে যাই প্রানের ও ছবি,
কত ভালো লাগে এইদিন এই পৃথিবী।
মেয়ে=
কত ভালো লাগে এইদিন এই পৃথিবী,
যেন পাখীদের মত ডানা মেলেছি নীলে।
হাঁসি গানে একে যাই প্রানের ও ছবি,
কত ভালো লাগে এইদিন এই পৃথিবী।
ছেলে=
হা হা হা আ আ আ হা হা হা—",আনন্দ
বলে দাও মাটীর পৃথিবী,ছায়াছবি,"মাটীর পৃথিবী তুমি বলো,
আমার কি অপরাধ,
নেই কি আমার তোমার বুকে,
কোন আশা কোন সাধ।
বলে দাও মাটীর পৃথিবী,
কোথা শান্তি আমার জীবনে,
কতদিন এমন করে,
আমি জ্বলবো দুঃখের ধহনে।
বলে দাও মাটীর পৃথিবী,
কোথা শান্তি আমার জীবনে,
আলো ঝল-মল বাসর আমার,
ভরিয়ে দিলো বাথা নিরাশার।
আলো ঝল-মল বাসর আমার,
ভরিয়ে দিলো বাথা নিরাশার।
ভরিয়ে দিলো নিরাশা-
মধু স্বপ্ন ভেঙ্গে গেলো,
কেন অশ্রু আমার নয়নে।
বলে দাও মাটীর পৃথিবী,
কোথা শান্তি আমার জীবনে।
কতো ছন্দে গানে দুটি মন,
কতো ছন্দে গানে দুটি মন,
দেখেছিনু মিলন ও স্বপন,
দেখেছিনু মিলন ও স্বপন। 
কেন আমার সেই হাঁসি গান,
কান্না হয়ে ভাষায় এ প্রাণ,
কেন আমার সেই হাঁসি গান,
কান্না হয়ে ভাষায় এ প্রাণ,
কান্না হয়ে ভাসে প্রাণ।
কেন ছন্দ থেমে গেলো,
কেন গন্ধ আমার জীবনে।
বলে দাও মাটীর পৃথিবী,
কোথা শান্তি আমার জীবনে,
কতদিন এমন করে,
আমি জ্বলবো দুঃখের ধহনে।
আমি জ্বলবো দুঃখের ধহনে।
আমি জ্বলবো দুঃখের ধহনে।",বেদনা
তুমি বুইজা কেনে বুজো না,ছায়াছবি,"তুমি বুইজা কেনে বুজো না,
তুমি যাইনা কেন যান না,
নাম ধরিয়া বাঁশী আর বাজাইও না। 
তুমি বুইজা কেনে বুজো না,
তুমি যাইনা কেন যান না,
নাম ধরিয়া বাঁশী আর বাজাইও না। 
বাঁশীর সুর দিয়া যে ম্ন কাইড়া নেয়,
বাঁশীর সুর দিয়া যে ম্ন কাইড়া নেয়,
ও ঘরে রইতে আমি পারি না,
ঘরে রইতে আমি পারি না।
নাম ধরে বাঁশী আর বাজাইও না।
তুমি বুইজা কেন বুজো না,
নাম ধরিয়া বাঁশী আর বাজাইও না।
বন্দু তোমার বড়ই কঠিন হিয়া,
এই পুরা দেহ জ্বালাও  কেন হায়,
নির্দয়া হইয়া,
হইতা যদি আমার মতো,
বুজতে ভাজ্ঞের পোড়া যন্ত্রনা,
বুজতে প্রেমের পোড়া যন্ত্রনা।
নাম ধরিয়া বাঁশী আর বাজাইও না।
 তুমি বুইজা কেনে বুজো না,
তুমি যাইনা কেন যান না,
নাম ধরিয়া বাঁশী আর বাজাইও না।",বেদনা
দিনের আছে সূর্য বন্ধু,ছায়াছবি,"দিনের আছে সূর্য বন্ধু রাতের আছে চন্দ্র,
আমার আছো তুমি বন্ধু আমার হইয়া রইও।
পাখীর আছে গান রে বন্ধু গাঙ্গের আছে বান,
আমার আছো তুমি বন্ধু পরানের পরান।
দিনের আছে সূর্য বন্ধু রাতের আছে চন্দ্র,
আমার আছো তুমি বন্ধু আমার হইয়া রইও।
পাখীর আছে গান রে বন্ধু গাঙ্গের আছে বান,
আমার আছো তুমি বন্ধু পরানের পরান।
দুই নয়নের কাজল দিয়া তোমায় রাখি বান্দিয়া,
যাইতে কভু পারবা নাকো আমারে ছাড়িয়া।
হিয়ার মাঝে—-
হিয়ার মাঝে লিখা রাখলাম এই কথা না কইও।
পাখীর আছে গান রে বন্ধু গাঙ্গের আছে বান,
আমার আছো তুমি বন্ধু পরানের পরান।
দিনের আছে সূর্য বন্ধু রাতের আছে চন্দ্র,
আমার আছো তুমি বন্ধু আমার হইয়া রইও।
এই জীবনের কাবিন দিয়া তোমায় নেবো তুলিয়া,
এই জীবনের কাবিন দিয়া তোমায় নেবো তুলিয়া,
সোহাগ দিবা সুখ দিবা ঘরের লক্ষ্মী হইয়া।
আশায় আশায়–
আশায় আশায় আমি রইলাম তোমার সাথী হইয়া।
দিনের আছে সূর্য বন্ধু রাতের আছে চন্দ্র,
আমার আছো তুমি বন্ধু আমার হইয়া রইও।
পাখীর আছে গান রে বন্ধু গাঙ্গের আছে বান,
আমার আছো তুমি বন্ধু পরানের পরান।",আনন্দ
মুছে যাওয়া দিনগুলি আমায় যে পিছু ডাকে,আধুনিক,"মুছে যাওয়া দিনগুলি আমায় যে পিছু ডাকে,
সৃতি যেন আমার হৃদয়ে,
বেধনার রঙে রঙে ছবি আঁকে।
মুছে যাওয়া দিনগুলি আমায় যে পিছু ডাকে,
সৃতি যেন আমার হৃদয়ে রঙে রঙে ছবি আঁকে। 
মনে পড়ে যায়, মনে পড়ে যায়,
মনে যায় সেই প্রথম দেখার ও সৃতি,
মনে আয় সেই হৃদ্যয় দেওয়ার প্রিতি।
দুজনার দুটি পথ মিসে গেলো এক হয়ে,
নতুন পথের ও বাকে। 
মুছে যাওয়া দিনগুলি আমায় যে পিছু ডাকে,
সৃতি যেন আমার হৃদয়ে,
বেধনার রঙে রঙে ছবি আঁকে। 
সে এক নতুন দেশে,
দিন গুলি ছিল যে মুখর কতো রঙে।
সেই সুর কাঁদে আজ ই আমার প্রানে,
ভেঙ্গে গেছে হায়, ভেঙ্গে গেছে হায়।
ভেঙ্গে আজ সেই মধুর ও মিলন মেলা।
ভেঙ্গে গেছে আজ সেই হাঁসি আর রঙের ও খেলা।
কোথায় কখন কবে কোন তারা ঝরে গেলো,
আকাশ কি মনে রাখে।
মুছে যাওয়া দিনগুলি আমায় যে পিছু ডাকে,
সৃতি যেন আমার হৃদয়ে,
বেধনার রঙে রঙে ছবি আঁকে। 
মুছে যাওয়া দিনগুলি আমায় যে পিছু ডাকে,
সৃতি যেন আমার হৃদয়ে,
বেধনার রঙে রঙে ছবি আঁকে।",বেদনা
খুব জানতে ইচ্ছে করে,আধুনিক,"খুব জানতে ইচ্ছে করে,
খুব জানতে ইচ্ছে করে,
তুমি কি সেই আগের মতো আছো,
তুমি কি সেই আগের মতো আছো,
নাকি অনেক খানি বদলে গেছো।
জানতে ইচ্ছে করে,খুব জানতে ইচ্ছে করে।
এখন ও কি প্রথম সকাল হলে,
স্নানটি সেরে পুজার ফুল তুলে,
ব্যাকুল পিয়াসে আমারই কথা ভাবো,
বসে ঠাকুর ঘরে। জানতে ইচ্ছে করে,
খুব জানতে ইচ্ছে করে।
এখন ও কি সন্ধ্যা বেলা,
আমার বাড়ি ফেরার সময় পেরিয়ে গেলে,
অনেক অভিমানে চোখ দুটো কি জলে ভরে।
জানতে ইচ্ছে করে,খুব জানতে ইচ্ছে করে।
এখন ও রাত নিঝুম হলে,
সরত কাহিনী পাশে খোলা পড়ে থাকে,
ব্যাকুল পিয়াসে, আমারই পিয়াসে,
অন্তর কেঁদে মোরে, জানতে ইচ্ছে করে।
খুব যানতে ইচ্ছে করে।
তুমি কি সেই আগের মতো আছো,
তুমি কি সেই আগের মতো আছো,
নাকি অনেক খানি বদলে গেছো।
জানতে ইচ্ছে করে,খুব জানতে ইচ্ছে করে।",বেদনা
এনেছি আমার সতজনমের প্রেম,ছায়াছবি,"এনেছি আমার শত জনমের প্রেম
আঁখি জলে গাঁথা মালা ;ওগো সুদূরিকা,
আজ ও কি হবে না শেষ তোমারে চাওয়ার পালা।।
এনেছি আমার শত জনমের প্রেম
আঁখি জলে গাঁথা মালা।
স্বপনে আমার সাথীহারা রাতে,
 স্বপনে আমার সাথীহারা রাতে,
পেয়েছি তোমায় পলকে হারাতে
তোমারে খুঁজিতে যে দীপ জ্বেলেছি হায়
বিফলে সে দীপ জ্বালা।।
তোমারে চাওয়ার ও পালা। 
এনেছি আমার শত জনমের প্রেম
আঁখি জলে গাঁথা মালা ;ওগো সুদূরিকা,
আজ ও কি হবে না শেষ তোমারে চাওয়ার পালা।।
মনে মনে তবু স্বপন বাসর গড়ি,
এনেছি হৃদয় মিলনের গানে ভরি।
মনে মনে তবু স্বপন বাসর গড়ি,
এনেছি হৃদয় মিলনের গানে ভরি।
দূরে আছ তুমি তবু দূরে নহ,
স্মরণ সুধায় ভরেছ বিরহ
প্রেম যেন তব সুদূর গগন হতে,
চাঁদের জোছনা ঢালা।।
তোমারে চাওয়ার ও পালা।
এনেছি আমার শত জনমের প্রেম
আঁখি জলে গাঁথা মালা ;ওগো সুদূরিকা,
আজ ও কি হবে না শেষ তোমারে চাওয়ার পালা।।",বেদনা
